Epoch,Layer,Node,WeightType,WeightIndex,WeightValue
3,1,1,output,1,0.762743
3,1,1,output,2,0.665302
3,1,1,bias,0,-0.544334
3,1,2,input,0,0.679213
3,1,2,input,1,0.459212
3,1,2,input,2,-7.05259
3,1,2,output,0,19.9294
3,1,2,output,1,0.992896
3,1,2,output,2,1.05049
3,1,2,bias,0,23.4687
3,2,0,input,0,7.17734e-12
3,2,0,input,1,0.911153
3,2,0,input,2,19.9294
3,2,0,output,0,6.42498e-15
3,2,0,bias,0,-1957.71
3,2,1,input,0,0.00433818
3,2,1,input,1,0.762743
3,2,1,input,2,0.992896
3,2,1,output,0,1.95161e-06
3,2,1,bias,0,-68.5263
3,2,2,input,0,0.00394156
3,2,2,input,1,0.665302
3,2,2,input,2,1.05049
3,2,2,output,0,4.27234e-06
3,2,2,bias,0,-69.4248
4,0,0,input,0,1
4,0,0,output,0,4.28883e-11
4,0,0,output,1,0.737186
4,0,0,output,2,0.678923
4,0,0,bias,0,-2.74826
4,0,1,input,0,-1
4,0,1,output,0,1.50099
4,0,1,output,1,0.839166
4,0,1,output,2,0.459213
4,0,1,bias,0,4.92048
4,0,2,input,0,-1
4,0,2,output,0,-1.70321
4,0,2,output,1,1.0679
4,0,2,output,2,-7.05259
4,0,2,bias,0,-1.70744
4,1,0,input,0,4.28883e-11
4,1,0,input,1,1.50099
4,1,0,input,2,-1.70321
4,1,0,output,0,6.52116e-18
4,1,0,output,1,1.39305e-07
4,1,0,output,2,1.92942e-07
4,1,0,bias,0,-14.5886
4,1,1,input,0,0.737186
4,1,1,input,1,0.839166
4,1,1,input,2,1.0679
4,1,1,output,0,0.911153
4,1,1,output,1,0.762732
4,1,1,output,2,0.665282
4,1,1,bias,0,-0.545975
4,1,2,input,0,0.678923
4,1,2,input,1,0.459213
4,1,2,input,2,-7.05259
4,1,2,output,0,19.9294
4,1,2,output,1,0.993501
4,1,2,output,2,1.05099
4,1,2,bias,0,23.4868
4,2,0,input,0,6.52116e-18
4,2,0,input,1,0.911153
4,2,0,input,2,19.9294
4,2,0,output,0,1.30294e-20
4,2,0,bias,0,-1958.52
4,2,1,input,0,1.39305e-07
4,2,1,input,1,0.762732
4,2,1,input,2,0.993501
4,2,1,output,0,1.22936e-07
4,2,1,bias,0,-68.6369
4,2,2,input,0,1.92942e-07
4,2,2,input,1,0.665282
4,2,2,input,2,1.05099
4,2,2,output,0,4.5477e-07
4,2,2,bias,0,-69.5265
5,0,0,input,0,1
5,0,0,output,0,1.03872e-16
5,0,0,output,1,0.737186
5,0,0,output,2,0.678916
5,0,0,bias,0,-2.73832
5,0,1,input,0,-1
5,0,1,output,0,1.50099
5,0,1,output,1,0.839166
5,0,1,output,2,0.459213
5,0,1,bias,0,4.92048
5,0,2,input,0,-1
5,0,2,output,0,-1.70321
5,0,2,output,1,1.0679
5,0,2,output,2,-7.05259
5,0,2,bias,0,-1.70744
5,1,0,input,0,1.03872e-16
5,1,0,input,1,1.50099
5,1,0,input,2,-1.70321
5,1,0,output,0,6.879e-24
5,1,0,output,1,6.05131e-13
5,1,0,output,2,6.17131e-13
5,1,0,bias,0,-14.5888
5,1,1,input,0,0.737186
5,1,1,input,1,0.839166
5,1,1,input,2,1.0679
5,1,1,output,0,0.911153
5,1,1,output,1,0.762732
5,1,1,output,2,0.665282
5,1,1,bias,0,-0.545975
5,1,2,input,0,0.678916
5,1,2,input,1,0.459213
5,1,2,input,2,-7.05259
5,1,2,output,0,19.9294
5,1,2,output,1,0.993529
5,1,2,output,2,1.051
5,1,2,bias,0,23.4874
5,2,0,input,0,6.879e-24
5,2,0,input,1,0.911153
5,2,0,input,2,19.9294
5,2,0,output,0,2.76711e-26
5,2,0,bias,0,-1958.67
5,2,1,input,0,6.05131e-13
5,2,1,input,1,0.762732
5,2,1,input,2,0.993529
5,2,1,output,0,8.69328e-09
5,2,1,bias,0,-68.6525
5,2,2,input,0,6.17131e-13
5,2,2,input,1,0.665282
5,2,2,input,2,1.051
5,2,2,output,0,4.74439e-08
5,2,2,bias,0,-69.5394
6,0,0,input,0,1
6,0,0,output,0,2.45813e-22
6,0,0,output,1,0.737186
6,0,0,output,2,0.678916
6,0,0,bias,0,-2.73773
6,0,1,input,0,-1
6,0,1,output,0,1.50099
6,0,1,output,1,0.839166
6,0,1,output,2,0.459213
6,0,1,bias,0,4.92048
6,0,2,input,0,-1
6,0,2,output,0,-1.70321
6,0,2,output,1,1.0679
6,0,2,output,2,-7.05259
6,0,2,bias,0,-1.70744
6,1,0,input,0,2.45813e-22
6,1,0,input,1,1.50099
6,1,0,input,2,-1.70321
6,1,0,output,0,7.19625e-30
6,1,0,output,1,2.5199e-18
6,1,0,output,2,1.937e-18
6,1,0,bias,0,-14.5888
6,1,1,input,0,0.737186
6,1,1,input,1,0.839166
6,1,1,input,2,1.0679
6,1,1,output,0,0.911153
6,1,1,output,1,0.762732
6,1,1,output,2,0.665282
6,1,1,bias,0,-0.545975
6,1,2,input,0,0.678916
6,1,2,input,1,0.459213
6,1,2,input,2,-7.05259
6,1,2,output,0,19.9294
6,1,2,output,1,0.993529
6,1,2,output,2,1.051
6,1,2,bias,0,23.4874
6,2,0,input,0,7.19625e-30
6,2,0,input,1,0.911153
6,2,0,input,2,19.9294
6,2,0,output,0,5.89814e-32
6,2,0,bias,0,-1958.68
6,2,1,input,0,2.5199e-18
6,2,1,input,1,0.762732
6,2,1,input,2,0.993529
6,2,1,output,0,6.34905e-10
6,2,1,bias,0,-68.6533
6,2,2,input,0,1.937e-18
6,2,2,input,1,0.665282
6,2,2,input,2,1.051
6,2,2,output,0,4.92983e-09
6,2,2,bias,0,-69.5402
7,0,0,input,0,1
7,0,0,output,0,5.81459e-28
7,0,0,output,1,0.737186
7,0,0,output,2,0.678916
7,0,0,bias,0,-2.73771
7,0,1,input,0,-1
7,0,1,output,0,1.50099
7,0,1,output,1,0.839166
7,0,1,output,2,0.459213
7,0,1,bias,0,4.92048
7,0,2,input,0,-1
7,0,2,output,0,-1.70321
7,0,2,output,1,1.0679
7,0,2,output,2,-7.05259
7,0,2,bias,0,-1.70744
7,1,0,input,0,5.81459e-28
7,1,0,input,1,1.50099
7,1,0,input,2,-1.70321
7,1,0,output,0,7.52468e-36
7,1,0,output,1,1.0489e-23
7,1,0,output,2,6.07703e-24
7,1,0,bias,0,-14.5888
7,1,1,input,0,0.737186
7,1,1,input,1,0.839166
7,1,1,input,2,1.0679
7,1,1,output,0,0.911153
7,1,1,output,1,0.762732
7,1,1,output,2,0.665282
7,1,1,bias,0,-0.545975
7,1,2,input,0,0.678916
7,1,2,input,1,0.459213
7,1,2,input,2,-7.05259
7,1,2,output,0,19.9294
7,1,2,output,1,0.993529
7,1,2,output,2,1.051
7,1,2,bias,0,23.4874
7,2,0,input,0,7.52468e-36
7,2,0,input,1,0.911153
7,2,0,input,2,19.9294
7,2,0,output,0,1.25745e-37
7,2,0,bias,0,-1958.68
7,2,1,input,0,1.0489e-23
7,2,1,input,1,0.762732
7,2,1,input,2,0.993529
7,2,1,output,0,4.63701e-11
7,2,1,bias,0,-68.6533
7,2,2,input,0,6.07703e-24
7,2,2,input,1,0.665282
7,2,2,input,2,1.051
7,2,2,output,0,5.12261e-10
7,2,2,bias,0,-69.5402
8,0,0,input,0,1
8,0,0,output,0,1.3754e-33
8,0,0,output,1,0.737186
8,0,0,output,2,0.678916
8,0,0,bias,0,-2.73771
8,0,1,input,0,-1
8,0,1,output,0,1.50099
8,0,1,output,1,0.839166
8,0,1,output,2,0.459213
8,0,1,bias,0,4.92048
8,0,2,input,0,-1
8,0,2,output,0,-1.70321
8,0,2,output,1,1.0679
8,0,2,output,2,-7.05259
8,0,2,bias,0,-1.70744
8,1,0,input,0,1.3754e-33
8,1,0,input,1,1.50099
8,1,0,input,2,-1.70321
8,1,0,output,0,7.868e-42
8,1,0,output,1,4.36594e-29
8,1,0,output,2,1.90655e-29
8,1,0,bias,0,-14.5888
8,1,1,input,0,0.737186
8,1,1,input,1,0.839166
8,1,1,input,2,1.0679
8,1,1,output,0,0.911153
8,1,1,output,1,0.762732
8,1,1,output,2,0.665282
8,1,1,bias,0,-0.545975
8,1,2,input,0,0.678916
8,1,2,input,1,0.459213
8,1,2,input,2,-7.05259
8,1,2,output,0,19.9294
8,1,2,output,1,0.993529
8,1,2,output,2,1.051
8,1,2,bias,0,23.4874
8,2,0,input,0,7.868e-42
8,2,0,input,1,0.911153
8,2,0,input,2,19.9294
8,2,0,output,0,2.68086e-43
8,2,0,bias,0,-1958.68
8,2,1,input,0,4.36594e-29
8,2,1,input,1,0.762732
8,2,1,input,2,0.993529
8,2,1,output,0,3.38666e-12
8,2,1,bias,0,-68.6533
8,2,2,input,0,1.90655e-29
8,2,2,input,1,0.665282
8,2,2,input,2,1.051
8,2,2,output,0,5.32299e-11
8,2,2,bias,0,-69.5402
9,0,0,input,0,1
9,0,0,output,0,3.2534e-39
9,0,0,output,1,0.737186
9,0,0,output,2,0.678916
9,0,0,bias,0,-2.73771
9,0,1,input,0,-1
9,0,1,output,0,1.50099
9,0,1,output,1,0.839166
9,0,1,output,2,0.459213
9,0,1,bias,0,4.92048
9,0,2,input,0,-1
9,0,2,output,0,-1.70321
9,0,2,output,1,1.0679
9,0,2,output,2,-7.05259
9,0,2,bias,0,-1.70744
9,1,0,input,0,3.2534e-39
9,1,0,input,1,1.50099
9,1,0,input,2,-1.70321
9,1,0,output,0,8.22698e-48
9,1,0,output,1,1.81728e-34
9,1,0,output,2,5.98146e-35
9,1,0,bias,0,-14.5888
9,1,1,input,0,0.737186
9,1,1,input,1,0.839166
9,1,1,input,2,1.0679
9,1,1,output,0,0.911153
9,1,1,output,1,0.762732
9,1,1,output,2,0.665282
9,1,1,bias,0,-0.545975
9,1,2,input,0,0.678916
9,1,2,input,1,0.459213
9,1,2,input,2,-7.05259
9,1,2,output,0,19.9294
9,1,2,output,1,0.993529
9,1,2,output,2,1.051
9,1,2,bias,0,23.4874
9,2,0,input,0,8.22698e-48
9,2,0,input,1,0.911153
9,2,0,input,2,19.9294
9,2,0,output,0,5.71551e-49
9,2,0,bias,0,-1958.68
9,2,1,input,0,1.81728e-34
9,2,1,input,1,0.762732
9,2,1,input,2,0.993529
9,2,1,output,0,2.47347e-13
9,2,1,bias,0,-68.6533
9,2,2,input,0,5.98146e-35
9,2,2,input,1,0.665282
9,2,2,input,2,1.051
9,2,2,output,0,5.53122e-12
9,2,2,bias,0,-69.5402
10,0,0,input,0,1
10,0,0,output,0,7.69565e-45
10,0,0,output,1,0.737186
10,0,0,output,2,0.678916
10,0,0,bias,0,-2.73771
10,0,1,input,0,-1
10,0,1,output,0,1.50099
10,0,1,output,1,0.839166
10,0,1,output,2,0.459213
10,0,1,bias,0,4.92048
10,0,2,input,0,-1
10,0,2,output,0,-1.70321
10,0,2,output,1,1.0679
10,0,2,output,2,-7.05259
10,0,2,bias,0,-1.70744
10,1,0,input,0,7.69565e-45
10,1,0,input,1,1.50099
10,1,0,input,2,-1.70321
10,1,0,output,0,8.60233e-54
